,lat,lon,stop,bike station,pharmacy,aed,attraction,theatre,tree,bush,forest,police station,hotel,dorm,cost
0,52.213879,21.087641,0,0,0,0,0,0,0,0,0,0,0,0,18744
1,52.21282,21.132526,6,0,0,0,0,0,0,0,0,0,0,0,13526
2,52.131128,21.045067,0,0,0,0,0,0,0,0,0,0,0,0,17893
3,52.193723,20.921814,7,0,0,0,0,0,0,0,0,0,0,0,16670
4,52.128559,21.007817,0,0,0,0,0,0,0,0,0,0,0,0,17893
5,52.21679,21.05084,5,0,0,0,0,0,0,0,0,0,0,0,27976
6,52.150471,21.158657,0,0,0,0,0,0,0,0,0,0,0,0,13526
7,52.190236,21.132827,2,0,0,0,0,0,0,0,0,0,0,0,13526
8,52.188304,21.015706,17,0,2,4,0,0,0,0,0,0,0,0,18744
9,52.212145,20.905582,0,0,0,0,0,0,0,0,0,0,0,0,16670
10,52.195477,21.060763,6,0,1,2,0,0,0,0,0,0,0,0,18744
11,52.138871,21.027158,2,0,1,0,0,0,0,0,0,0,0,0,17893
12,52.187198,21.104554,2,0,0,0,0,0,0,0,0,0,0,0,19236
13,52.199921,20.945856,10,0,0,0,0,0,0,0,0,0,0,0,16670
14,52.197496,20.954786,4,0,0,0,0,0,0,0,0,0,0,0,16670
15,52.145633,21.074542,0,0,0,0,0,0,0,0,0,0,0,0,19236
16,52.17046,21.044092,10,0,0,0,0,0,0,0,0,0,0,0,17893
17,52.175683,21.095656,0,0,0,0,0,0,0,0,0,0,0,0,19236
18,52.165411,21.114551,6,0,0,0,0,0,0,0,0,0,0,0,19236
19,52.216147,21.148201,5,0,0,0,0,0,0,0,0,0,0,0,13526
20,52.185911,20.887115,9,1,1,10,0,0,0,0,0,0,0,0,15296
21,52.164817,21.104058,11,0,0,0,0,0,0,0,0,0,0,0,19236
22,52.195102,21.011975,13,1,2,8,0,0,0,0,0,1,0,0,18744
23,52.198475,21.105384,0,0,0,0,0,0,0,0,0,0,0,0,13526
24,52.219266,20.992431,13,0,1,4,2,1,0,0,0,1,0,0,18673
25,52.137652,21.082221,0,0,0,0,0,0,0,0,0,0,0,0,19236
26,52.211713,21.141441,2,0,0,0,0,0,0,0,0,0,0,0,13526
27,52.204024,20.900683,12,0,0,0,0,0,0,0,0,0,0,0,16670
28,52.214677,20.897454,7,0,0,0,0,0,0,0,0,0,0,0,17378
29,52.157396,21.096123,3,0,0,0,0,0,0,0,0,0,0,0,19236
30,52.108122,21.020319,6,0,0,0,0,0,0,0,0,0,0,0,17893
31,52.120768,21.054747,0,0,0,0,0,0,0,0,0,0,0,0,17893
32,52.183678,20.975078,9,0,1,2,0,0,0,0,0,0,0,0,16670
33,52.186648,21.092356,4,0,0,0,0,0,0,0,0,0,0,0,18744
34,52.118853,21.052675,0,0,0,0,0,0,0,0,0,0,0,0,17893
35,52.159322,20.962899,4,0,0,0,0,0,0,0,0,0,0,0,16670
36,52.178599,20.942362,19,0,0,2,0,0,0,0,0,0,0,0,16670
37,52.18767,21.062489,8,0,2,4,0,0,0,0,0,0,0,0,18744
38,52.217411,21.115717,5,0,0,0,0,0,0,0,0,0,0,0,13526
39,52.172598,20.940905,18,0,0,2,0,0,0,0,0,0,0,0,16670
40,52.201826,20.867428,13,0,0,4,0,0,0,0,0,0,0,0,15296
41,52.16715,20.952835,0,0,0,0,0,0,0,0,0,0,0,0,16670
42,52.217968,20.951232,1,0,0,0,0,0,0,0,0,0,0,0,23697
43,52.150045,20.961119,3,0,0,0,0,0,0,0,0,0,0,0,16670
44,52.161509,21.014471,2,0,0,0,1,0,0,0,0,0,0,0,17893
45,52.138145,21.000895,0,0,0,0,0,0,0,0,0,0,0,0,17893
46,52.114155,21.034538,0,0,0,0,0,0,0,0,0,0,0,0,17893
47,52.13028,21.120295,2,0,0,0,0,0,0,0,0,0,0,0,19236
48,52.211882,21.035386,0,0,0,0,12,0,0,0,0,0,0,0,27976
49,52.18647,20.990102,18,0,0,0,0,0,0,0,0,0,0,0,18744
50,52.211244,21.032939,3,0,0,0,10,0,0,0,0,0,0,0,27976
51,52.138119,21.026396,1,0,1,0,0,0,0,0,0,0,0,0,17893
52,52.216,21.08399,0,0,0,0,0,0,0,0,0,0,0,0,18744
53,52.130967,21.107631,4,0,0,0,0,0,0,0,0,0,0,0,19236
54,52.193747,21.134261,5,0,0,0,0,0,0,0,0,0,0,0,13526
55,52.108143,21.07126,0,0,0,0,0,0,0,0,0,0,0,0,17893
56,52.20218,20.958468,8,0,1,2,0,0,0,0,0,0,0,0,18673
57,52.185833,20.974741,8,0,0,2,0,0,0,0,0,0,0,0,16670
58,52.177581,20.979884,8,0,1,0,0,0,0,0,0,0,0,0,16670
59,52.195454,20.912923,6,0,0,2,0,0,0,0,0,0,0,0,16670
60,52.205142,20.992143,6,0,1,0,0,0,0,0,0,0,0,0,18744
61,52.217957,20.956339,7,0,0,0,1,0,0,0,0,0,0,0,23697
62,52.208511,20.999641,10,0,1,0,1,0,0,0,0,0,0,0,18744
63,52.131785,21.137656,4,0,0,0,0,0,0,0,0,0,0,0,19236
64,52.193975,21.047609,14,0,0,0,0,0,0,0,0,0,0,0,18744
65,52.214393,20.887627,5,0,1,0,0,0,0,0,0,0,0,0,17378
66,52.217822,21.094715,7,0,0,0,0,0,0,0,0,0,0,0,18264
67,52.187698,21.021064,26,0,1,4,1,0,0,0,0,0,0,0,18744
68,52.211659,20.963734,17,0,1,0,1,0,0,0,0,0,0,0,18673
69,52.194892,21.074062,2,0,0,0,0,0,0,0,0,0,0,0,18744
70,52.213175,21.074402,4,0,0,0,0,0,0,0,0,0,0,0,18744
71,52.156246,21.104341,0,0,0,0,0,0,0,0,0,0,0,0,19236
72,52.213593,21.158683,9,0,1,0,0,0,0,0,0,0,0,0,13526
73,52.196149,20.884267,22,1,0,4,0,0,0,0,0,0,0,0,15296
74,52.189922,20.947287,3,0,0,0,0,0,0,0,0,0,0,0,16670
75,52.12513,21.064753,3,0,0,0,0,0,0,0,0,0,0,0,17893
76,52.188151,21.107578,0,0,0,0,0,0,0,0,0,0,0,0,19236
77,52.151084,20.990108,1,0,0,0,0,0,0,0,0,0,0,0,17893
78,52.195026,20.873162,16,1,0,6,0,0,0,0,0,0,0,0,15296
79,52.179766,21.067594,9,0,0,2,0,0,0,0,0,1,0,0,18744
80,52.20631,20.99514,5,0,2,0,0,0,0,0,0,0,0,0,18744
81,52.218963,20.973543,14,0,2,0,1,0,0,0,0,0,0,0,18673
82,52.125398,21.057987,0,0,0,6,0,0,0,0,0,0,0,0,17893
83,52.155125,21.109798,0,0,0,0,0,0,0,0,0,0,0,0,19236
84,52.191408,20.952393,8,0,0,2,0,0,0,0,0,0,0,0,16670
85,52.159123,21.091648,8,0,0,0,0,0,0,0,0,0,0,0,19236
86,52.106034,20.988297,0,0,0,0,0,0,0,0,0,0,0,0,17893
87,52.10667,21.09728,3,0,0,0,1,0,0,0,0,0,0,0,17893
88,52.184233,20.92218,1,0,0,0,0,0,0,0,0,0,0,0,16670
89,52.17207,21.007017,13,0,3,6,0,0,0,0,0,0,0,0,18744
90,52.179277,21.088051,4,0,0,0,0,0,0,0,0,0,0,0,19236
91,52.190446,21.038914,7,0,0,2,0,0,0,0,0,0,0,0,18744
92,52.108587,20.986502,9,0,0,0,0,0,0,0,0,0,0,0,17893
93,52.217335,20.92522,1,0,0,0,0,0,0,0,0,0,0,0,23697
94,52.169438,20.988789,6,0,0,2,0,0,0,0,0,0,0,0,17893
95,52.214934,20.930209,1,0,0,0,0,0,0,0,0,0,0,0,23697
96,52.200805,21.118681,4,0,0,0,0,0,0,0,0,0,0,0,13526
97,52.176059,20.937085,17,0,0,2,0,0,0,0,0,0,0,0,16670
98,52.181043,21.090184,4,0,0,0,0,0,0,0,0,0,0,0,18744
99,52.198701,20.874983,16,0,0,6,0,0,0,0,0,0,0,0,15296
100,52.110242,21.014854,6,0,0,0,0,0,0,0,0,0,0,0,17893
101,52.157096,21.052835,15,0,1,0,0,0,0,0,0,0,0,0,17893
102,52.168094,21.065537,9,0,0,0,0,0,0,0,0,0,0,0,19236
103,52.187895,21.043087,13,0,0,2,0,0,0,0,0,0,0,0,18744
104,52.190711,21.056264,7,0,1,0,0,0,0,0,0,0,0,0,18744
105,52.182241,21.051094,18,0,1,6,0,0,0,0,0,0,0,0,18744
